coroner_name,count
Ms Alison Patricia Mutch OBE,217
Ms Mary Hassell,167
Ms Nadia Persaud,86
Mr Professor John S Pollard,86
Mr Tom Osborne,82
Mrs Jacqueline F Lake,78
Mr Andrew Cox,70
Mrs Louise Hunt,70
Mr Andrew Harris,67
Mr John Gittins,65
Mr Chris Morris,63
Miss Veronica HAMILTON-DEELEY,63
Mr graeme Irvine,58
Mr Kevin McLoughlin,56
Mr Zafar Siddique,55
Mrs lydia brown,54
Ms Joanne Kearsley,52
Mr Andrew Walker,52
Mr Martin Dominic Fleming,51
Mr Andrew Adrian Haigh,50
Dr Fiona Jane Wilcox,49
Mrs Heidi Julia Connor,48
Mrs Maria Eileen Voisin,45
Miss Emma Brown,42
Ms Lisa Jeanette Hashmi,42
Ms Penelope Schofield,41
Mrs Rachael Clare Griffin,41
Mrs Caroline Beasley-Murray OBE,40
Mr André Rebello OBE,40
Mr Andrew Roger Barkley,40
