coroner_area,no. PFDs,no. recipients,no. replies,no. complete responses,no. partial responses,no. overdue responses,no. pending responses,no. failed parses
Greater Manchester South,390,381,243,140,7,107,4,63
London Inner North,233,257,150,92,10,63,4,13
Birmingham and Solihull,143,215,155,62,10,37,4,15
"West Sussex, Brighton and Hove",142,122,79,44,6,30,2,25
Surrey,141,165,80,28,12,43,1,21
London East,135,123,51,28,5,47,5,38
London Inner South,125,157,82,27,11,36,2,16
South Wales Central,115,128,81,44,4,32,2,5
Greater Manchester West,107,105,65,40,2,29,1,5
Greater Manchester North,105,118,71,36,3,34,0,5
Norfolk,100,80,62,46,1,14,3,7
Yorkshire West Eastern,99,82,55,38,1,24,0,15
Nottinghamshire,94,119,64,27,3,35,1,11
Cornwall and the Isles of Scilly,90,118,73,38,8,28,1,8
North Wales (East & Central),83,72,40,34,1,20,3,5
Avon,83,86,36,18,3,32,1,8
The Black Country Jurisdiction,77,83,51,30,5,21,0,4
"Hampshire, Portsmouth and Southampton",77,95,47,24,9,26,2,1
County Durham and Darlington,75,71,43,28,1,14,1,9
Yorkshire West Western,74,86,46,22,5,30,1,4
Yorkshire South West,72,77,38,25,3,22,4,4
Leicester City and South Leicestershire,67,46,36,14,2,15,0,8
Milton Keynes,66,65,28,19,1,27,1,7
London Inner West,65,90,47,15,7,30,1,2
Essex,65,79,28,13,5,35,0,3
Bedfordshire and Luton,64,59,36,26,3,15,0,5
Staffordshire South,60,49,32,24,1,13,0,2
Cumbria,60,42,32,20,0,12,0,6
Manchester City,60,74,39,15,3,24,0,6
Lincolnshire,59,52,22,15,2,19,3,2
London North,59,22,22,11,1,7,0,8
Dorset,57,56,64,26,2,11,1,13
Liverpool and the Wirral,54,48,23,13,3,15,1,7
Kent Mid and Medway,54,43,24,21,1,15,0,9
Wiltshire and Swindon,50,38,18,15,0,13,1,2
Worcestershire,50,41,26,19,2,11,2,4
London West,50,68,21,15,1,24,1,2
Berkshire,48,53,27,12,3,18,1,5
Lancashire and Blackburn with Darwen,48,48,21,16,1,23,0,0
"Plymouth, Torbay and South Devon",48,45,26,14,3,18,0,3
Suffolk,47,46,21,13,2,16,0,11
Exeter and Greater Devon,46,49,34,19,3,6,2,1
Blackpool and Fylde,45,34,17,17,0,11,2,9
Yorkshire South East,45,39,23,19,0,10,0,2
Stoke on Trent and North Staffordshire,44,43,27,18,1,13,0,5
Derby and Derbyshire,42,47,18,10,6,13,3,4
Sunderland,41,30,22,14,0,9,0,6
London South,39,46,21,10,1,14,0,4
Warwickshire,35,38,16,13,0,16,1,0
Gwent,35,34,24,16,0,11,0,2
Gloucestershire,34,38,22,18,0,12,0,1
Cambridgeshire and Peterborough,34,38,12,3,1,11,1,11
Newcastle and North Tyneside,32,32,17,7,1,12,5,4
Hertfordshire,30,27,21,15,1,5,0,3
Cheshire,30,38,21,10,3,11,1,2
Northamptonshire,28,41,18,10,1,10,1,3
Oxfordshire,27,19,18,14,0,1,0,0
Kent Central and South East,27,21,9,7,0,9,1,2
North Yorkshire and York,23,18,8,5,0,9,0,5
Swansea and Neath Port Talbot,23,25,10,8,1,8,0,2
"Shropshire, Telford and Wrekin",22,20,14,10,0,6,0,0
East Riding of Yorkshire and Kingston-upon-Hull,21,17,6,2,2,9,0,7
Carmarthenshire and Pembrokeshire,21,17,10,8,0,6,0,0
Buckinghamshire,21,20,9,7,1,9,0,0
Kent North East,20,12,7,6,0,3,0,8
Somerset,20,19,9,5,1,7,0,1
Isle of Wight,19,20,8,4,1,8,0,1
Coventry,19,13,3,3,0,8,0,1
North West Wales,18,12,8,7,0,3,1,3
Northumberland North,17,15,11,5,2,2,0,2
East Sussex,16,28,19,5,3,6,0,1
London City,13,10,5,3,0,4,0,2
Teesside,10,3,3,3,0,0,0,0
Herefordshire,10,10,7,5,0,3,1,1
Rutland and North Leicestershire,8,8,0,0,0,4,0,0
Gateshead and South Tyneside,8,11,0,0,0,4,0,0
Kent North West,7,8,6,5,1,1,0,0
North Lincolnshire and Grimsby,5,2,1,1,0,1,0,0
"Sefton, Knowsley and St Helens",5,10,3,0,1,3,1,0
Hartlepool,4,2,1,0,0,1,0,2
Staffordshire and Stoke-on-Trent,1,2,0,0,0,0,1,0
Ceredigion,1,2,2,1,0,0,0,0
Northumberland South,1,1,0,0,0,1,0,0
