coroner_name,count
Ms Alison Patricia Mutch OBE,174
Ms Mary Hassell,149
Mr Professor John S Pollard,86
Mr Tom Osborne,76
Ms Nadia Persaud,76
Mrs Jacqueline F Lake,66
Mr Andrew Harris,64
Mrs Louise Hunt,64
Mr Andrew Cox,60
Miss Veronica HAMILTON-DEELEY,57
Mr John Gittins,55
Mr Zafar Siddique,53
Mr Kevin McLoughlin,52
Mrs lydia brown,52
Mr Chris Morris,51
Mr Andrew Walker,51
Mr Andrew Adrian Haigh,50
Mr Martin Dominic Fleming,46
Dr Fiona Jane Wilcox,43
Mr graeme Irvine,42
Ms Lisa Jeanette Hashmi,42
Mrs Heidi Julia Connor,41
Mrs Caroline Beasley-Murray OBE,40
Mrs Maria Eileen Voisin,39
Mr Derek Winter DL,39
Mr Andrew Roger Barkley,39
Ms Joanne Kearsley,39
Miss Emma Brown,39
Mr André Rebello OBE,37
Ms Penelope Schofield,34
