category,count
Hospital Death (Clinical Procedures and medical management) related deaths,1902
Other related deaths,622
Prevention of Future Deaths,559
Community health care and emergency services related deaths,541
Suicide (from 2015),467
Mental Health related deaths,466
Road (Highways Safety) related deaths,383
"Alcohol, drug and medication related deaths",325
Care Home Health related deaths,306
Child Death (from 2015),281
State Custody related deaths,263
Emergency services related deaths (2019 onwards),131
Police related deaths,116
Wales prevention of future deaths reports (2019 onwards),99
Product related deaths,95
Railway related deaths,81
Accident at Work and Health and Safety related deaths,70
Service Personnel related deaths,28
Emergency Services related deaths,6
